new_order	order	seed	submitter	year	song	artist	link	submitters
1	1	0	Sharur	1990	Enjoy the Silence	Depeche Mode	https://youtu.be/6bYKZbWxKoQ	jsh; assemble_me; xyrix; Sharur
2	2	0	xyrix	1990	The Humpty Dance	Digital Underground	https://www.youtube.com/watch?v=yz_VxEbLSrk	xyrix; alatar224
5	3	1	aku chi	1990	Crown of Thorns	Mother Love Bone	https://youtu.be/rf9lNvUrJlo	
27	4	1	alatar224	1990	Who Stole My Monkey (Live)	Zachary Richard	https://www.youtube.com/watch?v=d-uXRmvWmc4&t=11	
11	5	1	assemble_me	1990	Pure Joy in my Heart	Asylum Party	https://youtu.be/QPURuDj4SaA	
26	6	1	Bluey The Bear	1990	Cherry-Coloured Funk	Cocteau Twins	https://www.youtube.com/watch?v=PbbUeLkZt74	
25	7	1	Cave-o-sapien	1990	Here's Where the Story Ends	The Sundays	https://www.youtube.com/watch?v=BwtYNs-daAA	
19	8	1	Donald X.	1990	Spinning Away	Brian Eno & John Cale	https://www.youtube.com/watch?v=-INeMspNSQ0	
8	9	1	jsh	1990	Iceblink Luck	Cocteau Twins	https://youtu.be/ecPCQWT0JjA	
29	10	1	Lemonspawn	1990	Tears Stupid Tears	Daniel Johnston	https://youtu.be/uWKYRVEWVNE	
10	11	1	markusin	1990	Faith Alone	Bad Religion	https://www.youtube.com/watch?v=fV-R29hGE9A	
3	12	1	Mollo8	1990	Única Libera Radio	Miguel Bosé	https://youtu.be/olgQQbLCqOg	
12	13	1	Mort	1990	I Remember	Psychotic Waltz	https://youtu.be/RdYcSOcgGXI	
32	14	1	pproteus	1990	Candidate (demo)	David Bowie	https://www.youtube.com/watch?v=ryAzixcCND0	
18	15	1	Sharur	1990	Hymn to the Red October	Basil Poledouris	https://youtu.be/AVBCxnKudhs	
9	16	1	strumphf	1990	Edwardo the Barber (Edward Scissorhands)	Danny Elfman	https://www.youtube.com/watch?v=Fe9hzgseHwE	
7	17	1	Valendale	1990	I'm In The Mood To Move	Ween	https://youtu.be/Ew9ur0-p5Cc	
6	18	1	volfied	1990	Cliffs of Dover	Eric Johnson	https://www.youtube.com/watch?v=wpAC1vr_pcg	
17	19	1	wharf_rat	1990	Groove Is In the Heart	Deee-Lite	https://www.youtube.com/watch?v=Y4TC2D7uGqs	
23	20	1	xyrix	1990	The Age Of Love (Jam & Spoon Watch Out For Stella Mix)	The Age Of Love	https://www.youtube.com/watch?v=-ubrhlYVv2k	
20	21	2	aku chi	1990	Sweetness and Light	Lush	https://youtu.be/qghw6Z3aXZE	
14	22	2	alatar224	1990	Kyema, Intermediate States	Eliane Radigue	https://www.youtube.com/watch?v=FMfGLNrLvGA	
88	23	2	assemble_me	1990	Cadavres Exquis	Little Nemo	https://youtu.be/tv0Z4DSymqw	
4	24	2	Bluey The Bear	1990	Heaven or Las Vegas	Cocteau Twins	https://www.youtube.com/watch?v=LRFWkkIXBxM	
15	25	2	Cave-o-sapien	1990	Pure	The Lightning Seeds	https://www.youtube.com/watch?v=KbBrQddBHrE	
22	26	2	Donald X.	1990	More Bad Times	Ed's Redeeming Qualities	https://www.youtube.com/watch?v=swDnRTvE4BY	
95	27	2	jsh	1990	Falling	Julee Cruise	https://youtu.be/9li9GeDHc2s	
78	28	2	Lemonspawn	1990	Hold On	Wilson Phillips	https://youtu.be/6uufwg-_fXc	
16	29	2	markusin	1990	Sinatra	Helmet	https://www.youtube.com/watch?v=ugS680Bji1c	
21	30	2	Mollo8	1990	Hojas Secas	Miguel Bosé	https://youtu.be/GolZppOX3zw	
50	31	2	Mort	1990	Tidal Convergence	Ozric Tentacles	https://youtu.be/r1dafr1mrzI	
28	32	2	Sharur	1990	She May Be Your Woman	Charlie Musselwhite	https://youtu.be/k3GeJjyBzMk	
64	33	2	strumphf	1990	Se bastasse una canzone	Eros Ramazotti	https://www.youtube.com/watch?v=ZuEmYpCjpU0	
13	34	2	Valendale	1990	Save Me	Fleetwood Mac	https://youtu.be/7pV7_D8aTao	
89	35	2	volfied	1990	Question and Answer	Pat Metheny Trio	https://www.youtube.com/watch?v=g3cDxVGcOCQ	
30	36	2	wharf_rat	1990	So Long, Mother (Live at the Barbershop Harmony Society International Quartet Contest 1990)	Acoustix	https://www.youtube.com/watch?v=lSG7JziNX_Y	
47	37	3	aku chi	1990	Stop	Jane's Addiction	https://youtu.be/wVnRfJzHkYo	
96	38	3	alatar224	1990	Motherfucker	Dwarves	https://www.youtube.com/watch?v=hISDDLhyq2U	
52	39	3	assemble_me	1990	Unfamiliar	Ride	https://youtu.be/Tb5qDm0igb8	
31	40	3	Bluey The Bear	1990	Vogue	Madonna	https://www.youtube.com/watch?v=mnvhHxjIgWo	
80	41	3	Cave-o-sapien	1990	Open House	Lou Reed & John Cale	https://www.youtube.com/watch?v=De4ByQpKEIM	
93	42	3	Donald X.	1990	Do Something Different	Brave Combo	https://www.youtube.com/watch?v=JD2NgwVULpA	
49	43	3	jsh	1990	Principles of Lust	Enigma	https://youtu.be/peqPYOioJwk	
82	44	3	Lemonspawn	1990	Big Blue	Yumiko Kanki, Naoto Ishida	https://youtu.be/LHhjnJP0VCo	
38	45	3	markusin	1990	Everybody Everybody (Le Freak Mix 7-inch Edit)	Black Box	https://www.youtube.com/watch?v=7yzKTqj4xdM	
36	46	3	Mollo8	1990	Policy of Truth	Depeche Mode	https://youtu.be/xIWT8enKI4I	
54	47	3	Sharur	1990	Show Me Your Soul	Red Hot Chili Peppers	https://youtu.be/ToAk89ozubA	
71	48	3	strumphf	1990	All die ganzen Jahre	Die Toten Hosen	https://www.youtube.com/watch?v=CynbhjMY4J0	
24	49	3	Valendale	1990	Funeral March	The Great Kat	https://youtu.be/UUpL4gAU7H0	
77	50	3	volfied	1990	Bouncing Around the Room	Phish	https://www.youtube.com/watch?v=VHQfg59Kp5Q	
75	51	3	wharf_rat	1990	Can I Kick It?	A Tribe Called Quest	https://www.youtube.com/watch?v=FGZoJS8bSeM	
33	52	3	xyrix	1990	Q	Mental Cube	https://www.youtube.com/watch?v=MT_MIoATkgY	
58	53	4	aku chi	1990	Outside	Tribe	https://youtu.be/VSVfEiswFWk	
34	54	4	alatar224	1990	Sativa	David Grisman	https://www.youtube.com/watch?v=biMOMbYFHnE	
90	55	4	assemble_me	1990	Fate	For Against	https://youtu.be/NMzdvfLzjwE	
40	56	4	Bluey The Bear	1990	Been Caught Stealing	Jane's Addiction	https://www.youtube.com/watch?v=bkvTFAJvpAU	
92	57	4	Cave-o-sapien	1990	Andalucia	Yo La Tengo	https://www.youtube.com/watch?v=AeAkD2D19h8	
41	58	4	Donald X.	1990	Drinker's Peace	Guided by Voices	https://www.youtube.com/watch?v=YjxtYkPuHOg	
86	59	4	jsh	1990	Birdhouse in Your Soul	They Might Be Giants	https://youtu.be/wtAwogksyQQ	
43	60	4	Lemonspawn	1990	Freedom! '90	George Michael	https://youtu.be/FaEjDk3lgcI	
51	61	4	markusin	1990	Silent Lucidity	Queensrÿche	https://www.youtube.com/watch?v=-iIs9mK8VSg	
39	62	4	Mollo8	1990	Mi muñequita sintética	Haragán y Cía.	https://youtu.be/j7qyMKVbRyA	
