new_order	order	seed	submitter	year	song	artist	link	submitters
18	1	0	aku chi	1968	Classical Gas	Mason Williams	https://youtu.be/Bel7WcHeUXY	markusin; aku chi
33	2	0	demonsdemon	1968	Summer Wine	Nancy Sinatra & Lee Hazlewood	https://www.youtube.com/watch?v=791z7Nb985Y	assemble_me; demonsdemon
35	3	0	Donald X.	1968	Sympathy for the Devil	The Rolling Stones	https://www.youtube.com/watch?v=GgnClrx8N2k	volfied; Donald X.; tufftaeh; biscuitsjoe
8	4	0	jsh	1968	A Minha Menina	Os Mutantes	https://www.youtube.com/watch?v=XIbJylD_c84	jsh; Sharur
89	5	0	Lemonspawn	1968	And When I Die	Blood, Sweat & Tears	https://youtu.be/la9Iy0RTvCI	Mollo8; Lemonspawn
48	6	0	Mollo8	1968	Set the Controls for the Heart of the Sun	Pink Floyd	https://youtu.be/8RbXIMZmVv8	volfied; Donald X.; Mollo8
97	7	0	pproteus	1968	Mrs. Robinson	Simon & Garfunkel	https://www.youtube.com/watch?v=9C1BCAgu2I8	assemble_me; strumphf; biscuitsjoe; pproteus; Lemonspawn; tufftaeh; SuperDuper
98	8	0	pproteus	1968	Happiness is a Warm Gun	The Beatles	https://www.youtube.com/watch?v=vdvnOH060Qg	volfied; pproteus
62	9	0	pproteus	1968	All Along The Watchtower	The Jimi Hendrix Experience	https://www.youtube.com/watch?v=TLV4_xaYynY	assemble_me; ; pproteus
108	10	0	pproteus	1968	Suzie Q.	Creedence Clearwater Revival	https://www.youtube.com/watch?v=18kqUNG9mO4	pproteus; volfied
101	11	0	SuperDuper	1968	Spanish Caravan	The Doors	https://youtu.be/6zrwCjjUqs0	markusin; SuperDuper
5	12	0	tufftaeh	1968	Hush	Deep Purple	https://www.youtube.com/watch?v=W1PNvopXjbg	markusin; tufftaeh
2	13	0	tufftaeh	1968	While My Guitar Gently Weeps	The Beatles	https://www.youtube.com/watch?v=bI8P6ZSHSvE	volfied; aku chi; pproteus; tufftaeh; SuperDuper
88	14	0	Valendale	1968	Jumpin' Jack Flash	The Rolling Stones	https://youtu.be/KXUJMaYzh6U	pproteus; Mollo8; Valendale
113	15	0	Valendale	1968	I've Gotta Get a Message to You	Bee Gees	https://www.youtube.com/watch?v=FRV_7eEgobw	assemble_me
4	16	0	volfied	1968	Voodoo Child (Slight Return)	Jimi Hendrix	https://www.youtube.com/watch?v=MIY2BDGx4Xw	volfied; biscuitsjoe
56	17	0	wharf_rat	1968	I Shall Be Released	The Band	https://www.youtube.com/watch?v=tytDwtgrbBk	volfied; wharf_rat
87	18	0	wharf_rat	1968	No Expectations	The Rolling Stones	https://www.youtube.com/watch?v=WyxehIn-VWg	biscuitsjoe; wharf_rat
91	19	0	Wonko	1968	I Say a Little Prayer	Aretha Franklin	https://youtu.be/-8y0onSG3kg	strumphf; Wonko
1	20	0	Wonko	1968	(Sittin' On) The Dock of the Bay	Otis Redding	https://youtu.be/N-q559-hhUA	Wonko; Lemonspawn; nottoobad
36	21	0	xyrix	1968	I Heard It Through The Grapevine	Marvin Gaye	https://www.youtube.com/watch?v=VWG3npfEoHo	xyrix
10	22	1	alatar224	1968	A Girl I Knew	The Savage Rose	https://www.youtube.com/watch?v=Bh7gcojtD38	
12	23	1	assemble_me	1968	Some Velvet Morning	Nancy Sinatra & Lee Hazlewood	https://youtu.be/J2rfZdqinIA	
46	24	1	biscuitsjoe	1968	Rocky Raccoon	The Beatles	https://www.youtube.com/watch?v=sDcDCZGcZj8	
120	25	1	Bluey The Bear	1968	Cactus Tree	Joni Mitchell	https://www.youtube.com/watch?v=myeJYtiKJR0	
43	26	1	demonsdemon	1968	Grazing in the Grass	Hugh Masekela	https://www.youtube.com/watch?v=cDTYsgPwP1s	
70	27	1	jsh	1968	Três Caravelas	Gilberto Gil and Caetano Veloso	https://www.youtube.com/watch?v=R40d0fIpkRM	
103	28	1	Komaitho	1968	What Is a Youth	Nino Rota	https://youtu.be/7VsgolqoeJw	
