49,2,Valendale,2008,"It's Dark, Raining, and The Leaves Certainly Aren't Done Falling",ninetales,https://youtu.be/pghriMj0z4I,
50,2,volfied,2008,DLZ,TV on the Radio,https://www.youtube.com/watch?v=0BAtp5yi5-4,
51,2,wharf_rat,2008,Strasbourg St. Denis (Live At The New Morning),The Roy Hargrove Quintet,https://www.youtube.com/watch?v=L0WXEzwZOv0&list=PLF1pWpGlqG_Xbxu0nYKuAOKKCrp5vxbiV&index=1,
52,2,Wonko,2008,That's Not My Name,The Ting Tings,https://youtu.be/JFh_xNsx2u0,
53,2,xyrix,2008,Machine Gun,Portishead,https://www.youtube.com/watch?v=anfao_kMVGs,
54,3,aku chi,2008,Sometime Around Midnight,The Airborne Toxic Event,https://youtu.be/m53cWa-CdUg,
55,3,alatar224,2008,Uzbekistan,The Sound of Animals Fighting,https://www.youtube.com/watch?v=MNbzxV0XmOk,
56,3,assemble_me,2008,Windscreen,Martial Canterel,https://youtu.be/r3n4xjtbV5A,
57,3,Bluey The Bear,2008,Mercy,Duffy,https://m.youtube.com/watch?v=rOu4wwI0xF8,
58,3,Cave-o-sapien,2008,Halfway Home,TV on the Radio,https://www.youtube.com/watch?v=CBEht-RY8oc,
59,3,Donald X.,2008,Love Me Dead,Ludo,https://www.youtube.com/watch?v=DrQgUfkYhic,
60,3,dryope,2008,Shine,Demians,https://youtu.be/LAIJT8EETq0,
61,3,Gizmo Gomez,2008,King Dedede Battle,Jun Ishikawa,https://www.youtube.com/watch?v=Dng9UWubo1k,
62,3,jsh,2008,The Rip,Portishead,https://www.youtube.com/watch?v=artaYKPCt_E,
63,3,Lemonspawn,2008,Numb,Oh Land,https://youtu.be/3Kbpru1Pu4k,
64,3,markusin,2008,The Awkward Wind Wheel,Kayo Dot,https://www.youtube.com/watch?v=et1KXYybDbM,
65,3,Mollo8,2008,花は桜 君は美し,いきものがかり,https://youtu.be/dW1HxMxDgFg,
66,3,Mort,2008,Youngblood,Russian Circles,https://youtu.be/CTmHy7pc2K8,
67,3,pproteus,2008,Ain't No Rest For The Wicked,Cage The Elephant,https://www.youtube.com/watch?v=e2Z0sON2UPc,
68,3,sharur,2008,Strange Times,The Black Keys,https://youtu.be/N-cPWw_fMkY,
69,3,singletee,2008,A&E,Goldfrapp,https://www.youtube.com/watch?v=kVPVacTqgWg,
70,3,strumphf,2008,A-Punk,Vampire Weekend,https://www.youtube.com/watch?v=yFSe9P5_Irk,
71,3,Valendale,2008,Closer to the Truth,Cryoshell,https://youtu.be/RRRox_PXymo,
72,3,volfied,2008,Frankie Ukelele and the Fire in the Lake,Bill Nelson,https://www.dropbox.com/s/0403zdchrbmgjf5/12%20Frankie%20Ukelele%20and%20the%20Fire%20in%20the%20Lake.mp3?dl=0,
73,3,wharf_rat,2008,Ragged Wood,Fleet Foxes,https://www.youtube.com/watch?v=a2KOI8Lt2Lc,
74,3,Wonko,2008,The Boss,Rick Ross,https://youtu.be/_OKflpHyHnY,
75,3,xyrix,2008,Love Juice (Danger TV Remix),Symbolone,https://www.youtube.com/watch?v=cUYCu08jn34,
76,4,alatar224,2008,I Saw Brown,Black Moth Super Rainbow,https://www.youtube.com/watch?v=WdnH3gEtFlI,
77,4,assemble_me,2008,Dawn // Night,Zeigeist,https://youtu.be/0vSGvYcBnq0,
78,4,Cave-o-sapien,2008,Drops in the River,Fleet Foxes,https://www.youtube.com/watch?v=ENPrHO8Rlr0,
79,4,demonsdemon,2008,Entropy Reigns (In the Celestial City),Kelley Polar,https://www.youtube.com/watch?v=jW0IbpJcOmo,
80,4,Donald X.,2008,You Were Too Old for Me,Pas/Cal,https://www.youtube.com/watch?v=Y06_xOrAu6w,
81,4,dryope,2008,Honey,"Move D, Benjamin Brunn",https://youtu.be/MklxuUcAzsE,
82,4,Gizmo Gomez,2008,Title Theme,Chef Boyardee,https://www.youtube.com/watch?v=lWKQiZVBtu4,
83,4,jsh,2008,Theme (Space Jam),Qazar,https://www.youtube.com/watch?v=lWKQiZVBtu4,
