new_order	order	seed	submitter	year	song	artist	link	submitters
53	1	0	aku chi	1977	The Lonely Shepherd	Gheorghe Zamfir & James Last	https://youtu.be/f_5XWp0m2dc	Lemonspawn; aku chi
20	2	0	aku chi	1977	Go Your Own Way	Fleetwood Mac	https://youtu.be/oiosqtFLBBA	aku chi; singletee
9	3	0	aku chi	1977	We Are the Champions	Queen	https://youtu.be/aRlk72bQK90	aku chi; singletee
128	4	0	assemble_me	1977	Sound and Vision	David Bowie	https://youtu.be/ZeAn_XRv2ag	assemble_me; Donald X.
78	5	0	bazkitcase5	1977	I Want You to Want Me	Cheap Trick	https://youtu.be/Er9HDEq3YIY	Lemonspawn; bazkitcase5
24	6	0	bazkitcase5	1977	Come Sail Away	Styx	https://youtu.be/eYCFrcCqh7Q	bazkitcase5; aku chi; Wonko
95	7	0	bazkitcase5	1977	Closer To The Heart	Rush	https://youtu.be/syEBKVIZO34	bazkitcase5; aku chi
29	8	0	bazkitcase5	1977	Barracuda	Heart	https://youtu.be/LQaapdpX0Hk	bazkitcase5; aku chi; strumphf
30	9	0	biscuitsjoe	1977	Watching the Detectives	Elvis Costello	https://www.youtube.com/watch?v=k1Qnt5bx1OI	Donald X.; biscuitsjoe
112	10	0	biscuitsjoe	1977	Marquee Moon	Television	https://www.youtube.com/watch?v=g4myghLPLZc	jsh; biscuitsjoe; Sharur
104	11	0	Donald X.	1977	Solsbury Hill	Peter Gabriel	https://www.youtube.com/watch?v=bXXkzyVIlhw	aku chi; Donald X.; xyrix
50	12	0	Donald X.	1977	Psycho Killer	Talking Heads	https://www.youtube.com/watch?v=eauZzwt8Ci8	markusin; Donald X.; Valendale; xyrix; Sharur
82	13	0	Lemonspawn	1977	Bat Out of Hell	Meat Loaf	https://youtu.be/x7ES7ueI7p0	Lemonspawn; tufftaeh
56	14	0	MuensterCheese	1977	Take a Chance On Me	ABBA	https://youtu.be/72r32bceDzg	Lemonspawn; MuensterCheese
31	15	0	pproteus	1977	The Chain	Fleetwood Mac	https://www.youtube.com/watch?v=iLC-tHvkNvI	jsh; Sharur; pproteus; xyrix
38	16	0	pproteus	1977	Dogs	Pink Floyd	https://www.youtube.com/watch?v=4QA30qkRYy8	volfied; pproteus
90	17	0	Sharur	1977	Cocaine	Eric Clapton	https://youtu.be/8QYdIswhbY4	bazkitcase5; Sharur
35	18	0	Sharur	1977	That Smell	Lynyrd Skynyrd	https://youtu.be/erg2vyJ2UOk	bazkitcase5; Sharur; aku chi
96	19	0	Sharur	1977	Short People	Randy Newman	https://youtu.be/v8UVBgUd9GE	Sharur; Donald X.
16	20	0	strumphf	1977	Godzilla	Blue Öyster Cult	https://www.youtube.com/watch?v=myqSETD5_bs	bazkitcase5; strumphf
37	21	0	strumphf	1977	Dust in the Wind	Kansas	https://www.youtube.com/watch?v=zVokojoF_lY	Lemonspawn; bazkitcase5; singletee; strumphf
81	22	0	Valendale	1977	Paradise by the Dashboard Light	Meat Loaf	https://youtu.be/a136H5K3OKw	Lemonspawn; Valendale; pproteus; MuensterCheese
28	23	0	volfied	1977	Fanfare for the Common Man	Emerson, Lake & Palmer	https://www.youtube.com/watch?v=nL_Yt8NpoP0	volfied; xyrix
57	24	0	volfied	1977	Birdland	Weather Report	https://www.youtube.com/watch?v=JI1QCXIXlp8	Lemonspawn; volfied
32	25	0	volfied	1977	Vienna	Billy Joel	https://www.youtube.com/watch?v=wccRif2DaGs	volfied; Lemonspawn
36	26	0	volfied	1977	Dogs	Pink Floyd	https://www.youtube.com/watch?v=4QA30qkRYy8	volfied; pproteus
26	27	0	Wonko	1977	Cantina Band	John Williams	https://www.youtube.com/watch?v=EsvfptdFXf4	Wonko; MuensterCheese
121	28	0	xyrix	1977	Backwater	Brian Eno	https://www.youtube.com/watch?v=RvciU4AJ5Cc	Donald X.; xyrix
64	29	0	xyrix	1977	Sheep	Pink Floyd	https://www.youtube.com/watch?v=3GE-sfEbJ7I	xyrix; volfied
47	30	0	xyrix	1977	I Feel Love	Donna Summer	https://www.youtube.com/watch?v=6S2n5Tbq_0s	xyrix; Lemonspawn
52	31	1	alatar224	1977	Wild About the Lady	J. Jasmine	https://www.youtube.com/watch?v=3-ByYBv2CHw	
74	32	1	assemble_me	1977	Ex Lion Tamer	Wire	https://youtu.be/YOIBDZuetBY	
61	33	1	Bluey The Bear	1977	Beauty and the Beast (Extended Version)	David Bowie	https://www.youtube.com/watch?v=6jg9o8n_AI0	
69	34	1	dryope	1977	I Robot	Alan Parsons Project	https://youtu.be/ROS-288KSnQ	
124	35	1	jsh	1977	Agalopado	Alceu Valença	https://www.youtube.com/watch?v=t11SQ_oOL9g	
44	36	1	Komaitho	1977	月亮代表我的心 (The Moon Represents My Heart)	鄧麗君 (Teresa Teng)	https://youtu.be/IiFm7AWP9n4	
70	37	1	markusin	1977	Sails of Charon	Scorpions	https://www.youtube.com/watch?v=6WAZkgy8EE0	
108	38	1	Mollo8	1977	Aja	Steely Dan	https://m.youtube.com/watch?v=CYZwVf07tHA	
68	39	1	Mort	1977	Worn Down Piano	The Mark & Clark Band	https://youtu.be/htvgBHVU2jE	
23	40	1	MuensterCheese	1977	EMI	Sex Pistols	https://youtu.be/QlFcrtVnfXg	
43	41	1	Sharur	1977	Cara A Cara	Caetano Veloso	https://youtu.be/VyMIfllUsoY	
10	42	1	singletee	1977	Trans-Europe Express	Kraftwerk	https://www.youtube.com/watch?v=i_85fUIRlmU	
126	43	1	strumphf	1977	The Throne Room/End Title	John Williams	https://www.youtube.com/watch?v=248ggPoK158	
54	44	1	tufftaeh	1977	Genug ist nicht genug	Konstantin Wecker	https://www.youtube.com/watch?v=ts2PGy5SiJ8	
66	45	1	volfied	1977	Here Comes the Flood	Peter Gabriel	https://www.youtube.com/watch?v=AO0CrlYZlQw	
2	46	1	wharf_rat	1977	Serpentine Fire	Earth, Wind & Fire	https://www.youtube.com/watch?v=oFbo8I2KkR8	
114	47	2	alatar224	1977	Tiger Rag	Preservation Hall Jazz Band	https://www.youtube.com/watch?v=2nqFclDQcOY	
125	48	2	assemble_me	1977	In The City	The Jam	https://youtu.be/UzEV6qDMTwk	
4	49	2	biscuitsjoe	1977	Running On Empty	Jackson Browne	https://www.youtube.com/watch?v=lFQKvtbD6Kw	
71	50	2	Bluey The Bear	1977	Nightclubbing	Iggy Pop	https://www.youtube.com/watch?v=EpECxEO4uZM	
123	51	2	dryope	1977	Schöne Hände	Cluster & Eno	https://youtu.be/3OBYefrtY5k	
14	52	2	jsh	1977	By This River	Brian Eno	https://www.youtube.com/watch?v=SrZYP8SzlN8	
115	53	2	Komaitho	1977	Szabadnak születtem (I Was Born Free)	Piramis	https://youtu.be/n0gFKDtqWFI	
7	54	2	Lemonspawn	1977	Only the Good Die Young	Billy Joel	https://youtu.be/Crif5E67ar0	
46	55	2	markusin	1977	Turn of the Century	Yes	https://www.youtube.com/watch?v=g0k-Klq-FNA	
102	56	2	Mollo8	1977	Gavilán o Paloma	José José	https://youtu.be/X1RL5DUQeb8	
18	57	2	Mort	1977	Feel the Benefit	10cc	https://youtu.be/qyzTwbQjtuc	
19	58	2	MuensterCheese	1977	Wild West Hero	Electric Light Orchestra	https://youtu.be/NgbBy9hmZjA	
116	59	2	pproteus	1977	Gold Dust Woman	Fleetwood Mac	https://www.youtube.com/watch?v=-Ti1b-RRBjI	
83	60	2	singletee	1977	Eagle	ABBA	https://www.youtube.com/watch?v=MEieLT0QfLo	
12	61	2	tufftaeh	1977	Just Another Suicide	UFO	https://www.youtube.com/watch?v=-yFSV-NIGms	
42	62	2	Valendale	1977	Mr. Blue Sky	Electric Light Orchestra	https://youtu.be/s7dTBoW5H9k	
67	63	2	volfied	1977	Cathedral	Crosby, Stills & Nash	https://www.youtube.com/watch?v=2Q7ZBHuDdn4	
45	64	2	wharf_rat	1977	Terrapin Station (2/26/77 | Swing Auditorium, San Bernadino, CA)	Grateful Dead	https://www.youtube.com/watch?v=NnQxdqoiJx4	
11	65	2	Wonko	1977	Hate and War	The Clash	https://youtu.be/a445pvCRyzo	
22	66	3	aku chi	1977	Inside and Out	Genesis	https://youtu.be/SyeUizLp1rk	
6	67	3	alatar224	1977	Bi	Milford Graves	https://www.youtube.com/watch?v=6TNTbLNRsJE	
15	68	3	assemble_me	1977	The Passenger	Iggy Pop	https://youtu.be/-fWw7FE9tTo	
111	69	3	biscuitsjoe	1977	Slip Slidin' Away	Paul Simon	https://www.youtube.com/watch?v=iUODdPpnxcA	
63	70	3	Bluey The Bear	1977	Be My Wife	David Bowie	https://www.youtube.com/watch?v=0LiLN8_oBc0	
13	71	3	Donald X.	1977	Hunting Girl	Jethro Tull	https://www.youtube.com/watch?v=royymUiwItI	
110	72	3	dryope	1977	Betrayal (Sorcerer Theme)	Tangerine Dream	https://youtu.be/phJKQcvZ3sE	
40	73	3	jsh	1977	Heroes	David Bowie	https://www.youtube.com/watch?v=xEqSOst1dg8	
122	74	3	Komaitho	1977	Misty Mountains Cold	Maury Laws	https://youtu.be/aUXP8VEXWMs	
59	75	3	Lemonspawn	1977	Alison	Elvis Costello		
77	76	3	markusin	1977	Ti Amo	Umberto Tozzi	https://www.youtube.com/watch?v=AAFzwt9NolU	
127	77	3	Mollo8	1977	Linda	Miguel Bosé	https://youtu.be/qKXjeEgzLRQ	
1	78	3	MuensterCheese	1977	Two Out of Three Ain't Bad	Meat Loaf	https://youtu.be/q8JA9Qs2Mho	
120	79	3	pproteus	1977	Pigs (Three Different Ones)	Pink Floyd	https://www.youtube.com/watch?v=gZM1WQKwpl0	
98	80	3	singletee	1977	From Here to Eternity	Giorgio Moroder	https://www.youtube.com/watch?v=qTFEyFEu1Fk	
89	81	3	tufftaeh	1977	Closet Chronicles	Kansas	https://www.youtube.com/watch?v=TcYxb_YKZ1s	
62	82	3	wharf_rat	1977	Sheena Is A Punk Rocker	The Ramones	https://www.youtube.com/watch?v=0sPeq_mFCKc	
3	83	3	Wonko	1977	Just the Way You Are	Billy Joel	https://youtu.be/HaA3YZ6QdJU	
49	84	4	alatar224	1977	Rosetta	Dick Wellstood	https://www.youtube.com/watch?v=wxHuV3EbAO8	
21	85	4	Bluey The Bear	1977	Lust For Life	Iggy Pop	https://www.youtube.com/watch?v=vYZ-n8L0AaI	
55	86	4	Donald X.	1977	The Stranger	Billy Joel	https://www.youtube.com/watch?v=E5ofVsxTPoc	
105	87	4	dryope	1977	Nada	Peter Michael Hamel	https://youtu.be/7pOr19LCGUw	
58	88	4	jsh	1977	Stayin' Alive	Bee Gees	https://www.youtube.com/watch?v=bVVwmRbBZ-I	
33	89	4	Komaitho	1977	Footsteps in the Dark, Pts. 1 & 2	The Isley Brothers	https://youtu.be/Dyq9zlYMw9g	
85	90	4	Lemonspawn	1977	Margaritaville	Jimmy Buffett	https://youtu.be/CICf8xoLyG8	
25	91	4	markusin	1977	Rockaway Beach	The Ramones	https://www.youtube.com/watch?v=s0cLMW181mo	
84	92	4	Mollo8	1977	Fantasy	Earth, Wind & Fire	https://youtu.be/r58GQYFZeLE	
76	93	4	singletee	1977	She's Not There	Santana	https://www.youtube.com/watch?v=K4jdiJA2TtQ	
87	94	4	strumphf	1977	Nobody Does It Better	Carly Simon	https://www.youtube.com/watch?v=uWWwKDttHnM	
119	95	4	tufftaeh	1977	Kill the King	Rainbow	https://www.youtube.com/watch?v=83qBRmM00R4	
118	96	4	volfied	1977	Deacon Blues	Steely Dan	https://www.youtube.com/watch?v=6O4cvfaAsUM	
