new_order	order	seed	submitter	year	song	artist	link	submitters
15	1	0	jsh	2021	Paprika	Japanese Breakfast	https://www.youtube.com/watch?v=aA5l2qsX_O8	jsh; volfied
64	2	0	jsh	2021	All My Favorite Songs	Weezer	https://www.youtube.com/watch?v=L04btiImAKA	jsh; alatar224
95	3	0	pproteus	2021	Back to Oz	Sufjan Stevens & Angelo De Augustine	https://www.youtube.com/watch?v=abLdlGrSIx0	jsh; volfied; pproteus
3	4	1	aku chi	2021	Comingback	Parcels	https://youtu.be/FsGpSAfdtjk	
55	5	1	alatar224	2021	El Bouhala	Innov Gnawa	https://www.youtube.com/watch?v=0-WEjSbh324	
104	6	1	assemble_me	2021	Across That Fine Line	Nation of Language	https://youtu.be/i1sno-oy8-I	
5	7	1	Donald X.	2021	Time Escaping	Big Thief	https://www.youtube.com/watch?v=CkIvGej2WyI	
80	8	1	dryope	2021	Rombus Landing	Sidelander	https://youtu.be/jLXgicr4ndU	
92	9	1	jsh	2021	Brontosaurus	They Might be Giants	https://www.youtube.com/watch?v=F71gpyuer2Y	
70	10	1	Lemonspawn	2021	drivers license	Olivia Rodrigo	https://youtu.be/tNJhkrpLGT8	
117	11	1	markusin	2021	The Winged Ones	Cynic	https://www.youtube.com/watch?v=l8y90oeq-fU	
66	12	1	Mollo8	2021	Microsinfonía (ft. Steve Vai)	Sergio Vallín	https://youtu.be/cYfisRF4QTQ	
73	13	1	Mort	2021	Dissipating	Wheel	https://youtu.be/20YWabXldY0	
61	14	1	nottoobad	2021	damn	Ada Lea	https://www.youtube.com/watch?v=jLYpqu9NN8E	
24	15	1	pproteus	2021	Flux	Poppy	https://www.youtube.com/watch?v=U_epSxJCf_8	
44	16	1	Sharur	2021	Wellerman	Nathan Evans	https://youtu.be/SLiNQhQr4G4	
57	17	1	strumphf	2021	Surface Pressure (live)	Jessica Darrow	https://youtu.be/m7YIdh5sRbI?t=51	
36	18	1	SuperDuper	2021	Mohabbat	Arooj Aftab	https://youtu.be/iRZ98HX1MO8	
8	19	1	tufftaeh	2021	Jenny Take A Ride!	Deep Purple	https://www.youtube.com/watch?v=fu2xpgZodKQ	
112	20	1	Valendale	2021	mememe	100 gecs	https://youtu.be/ycpTDqfv7cI	
100	21	1	volfied	2021	Chaise Longue	Wet Leg	https://www.youtube.com/watch?v=gJ2_y0Zv95w	
32	22	1	wharf_rat	2021	Music Life	Mia Doi Todd	https://www.youtube.com/watch?v=m9zSw3vryyE	
45	23	1	xyrix	2021	How???	DJ Sabrina the Teenage DJ	https://www.youtube.com/watch?v=yGhcreI3MoU	
