new_order	order	seed	submitter	year	song	artist	link	submitters
33	1	0	aku chi	1973	Dream On	Aerosmith	https://youtu.be/89dGC8de0CA	markusin; aku chi; Lemonspawn; SuperDuper
4	2	0	aku chi	1973	Hooked On a Feeling	Blue Swede	https://youtu.be/AUQlyaWowOM	aku chi; xyrix
2	3	0	Donald X.	1973	Firth of Fifth	Genesis	https://www.youtube.com/watch?v=1h0YHbCgP0o	Donald X.; tufftaeh
80	4	0	Donald X.	1973	Mrs. Vandebilt	Paul McCartney & Wings	https://www.youtube.com/watch?v=aIh6UdXTBFs	Donald X.; xyrix
7	5	0	dryope	1973	Watermelon Man	Herbie Hancock	https://youtu.be/ppJQKfqhFfE	xyrix; dryope
31	6	0	jsh	1973	Time	Pink Floyd	https://youtu.be/Qr0-7Ds79zo	jsh; aku chi
25	7	0	Lemonspawn	1973	Goodbye Yellow Brick Road	Elton John	https://youtu.be/wy709iNG6i8	jsh; Lemonspawn
3	8	0	Lemonspawn	1973	Radar Love	Golden Earring	https://youtu.be/GyAvXV1NJNY	Lemonspawn; pproteus
16	9	0	pproteus	1973	Turn the Page (Live At Cobo Hall, Detroit, 1975)	Bob Seger & The Silver Bullet Band	https://www.youtube.com/watch?v=3khH9ih2XJg	markusin; pproteus
18	10	0	pproteus	1973	Brain Damage/Eclipse	Pink Floyd	https://www.youtube.com/watch?v=yyP8tew0OUQ	tufftaeh; pproteus
1	11	0	singletee	1973	The Ballroom Blitz	The Sweet	https://www.youtube.com/watch?v=7Aze726qAwA	singletee; Lemonspawn; Valendale; strumphf
26	12	0	strumphf	1973	Killing Me Softly With His Song	Roberta Flack	https://www.youtube.com/watch?v=DEbi_YjpA-Y	Lemonspawn; strumphf
17	13	0	SuperDuper	1973	Money	Pink Floyd	https://youtu.be/z3cg3IQzSqw	volfied; SuperDuper
13	14	0	SuperDuper	1973	Martha	Tom Waits	https://youtu.be/VXQwDb7AUmo	jsh; SuperDuper
12	15	0	Valendale	1973	Piano Man	Billy Joel	https://youtu.be/QwVjTlTdIDQ	tufftaeh; Valendale; SuperDuper
32	16	0	Valendale	1973	Desperado	Eagles	https://youtu.be/aelpqWEBHR4	Lemonspawn; Valendale
8	17	0	xyrix	1973	Tubular Bells (Pt. 1)	Mike Oldfield	https://www.youtube.com/watch?v=BfWJqKIxyGc	jsh; xyrix
21	18	0	xyrix	1973	Hidden Shadows	Herbie Hancock	https://www.youtube.com/watch?v=ohYHBwVAZgU	dryope; xyrix
23	19	1	aku chi	1973	Tuesday's Gone	Lynyrd Skynyrd	https://youtu.be/LJrFxnvcWhc	
29	20	1	alatar224	1973	Psalter (Läuft... Heisst Das Es Läuft Oder Es Kommt Bald... Läuft)	Faust	https://www.youtube.com/watch?v=HToJeZqSjxE	
9	21	1	assemble_me	1973	Editions Of You	Roxy Music	https://youtu.be/0kxfGPWGaJ0	
5	22	1	Bluey The Bear	1973	Exiles	King Crimson	https://www.youtube.com/watch?v=nMeFafKx7GI	
14	23	1	dryope	1973	Spain	Chick Corea	https://youtu.be/sEhQTjgoTdU	
11	24	1	jsh	1973	Ingazeiras	Ednardo	https://www.youtube.com/watch?v=uMFvQ-u9l5I	
55	25	1	Lemonspawn	1973	I Wish I Was Your Mother	Mott the Hoople	https://youtu.be/wlneUb2BeB8	
15	26	1	markusin	1973	Everlasting Love	Carl Carlton	https://www.youtube.com/watch?v=SqT1y5Qi6l0	
20	27	1	Sharur	1973	My Woman Is Good To Me	Little Sonny	https://youtu.be/iwpmd65JPG4	
30	28	1	SuperDuper	1973	Painting (ציור)	Matti Caspi and Shlomo Gronich	https://youtu.be/ucmwor8Po70	
19	29	1	tufftaeh	1973	Woman from Tokyo	Deep Purple	https://www.youtube.com/watch?v=b-ScDz4Vj98	
94	30	1	Valendale	1973	Come and Get Your Love	Redbone	https://youtu.be/bc0KhhjJP98	
6	31	1	volfied	1973	Bodhisattva	Steely Dan	https://www.youtube.com/watch?v=51q-G-X8RGw	
22	32	1	wharf_rat	1973	Here Comes Sunshine (12/19/73 | Tampa, FL)	Grateful Dead	https://www.youtube.com/watch?v=nU9viEhRMQQ	
47	33	1	Wonko	1973	Black Rose	Billy Joe Shaver	https://youtu.be/TI3sYS4LeLs	
65	34	2	alatar224	1973	Georgie Pie	Lavender Country	https://www.youtube.com/watch?v=DfolNld9W7w	
42	35	2	assemble_me	1973	The Sad Skinhead	Faust	https://youtu.be/vtkOXbmuChE	
34	36	2	Bluey The Bear	1973	Future Days	Can	https://www.youtube.com/watch?v=Lsl28RkPso8	
62	37	2	Donald X.	1973	Incident on 57th Street	Bruce Springsteen	https://www.youtube.com/watch?v=ioQcvijom28	
24	38	2	jsh	1973	Nem Paletó Nem Gravata	Marcos Valle	https://www.youtube.com/watch?v=mbZUL5ky7iI	
43	39	2	markusin	1973	Pilgrim	Uriah Heep	https://www.youtube.com/watch?v=fZUsDnOyKrc	
28	40	2	pproteus	1973	The Great Gig In The Sky	Pink Floyd	https://www.youtube.com/watch?v=T13se_2A7c8	
39	41	2	Sharur	1973	To Know You Is To Love You	B.B. King	https://youtu.be/-9VQXP-vNl0	
53	42	2	strumphf	1973	Il mio nome è Nessuno	Ennio Morricone	https://www.youtube.com/watch?v=H4Iw3Q8JdP4	
10	43	2	tufftaeh	1973	Father of Day, Father of Night	Manfred Mann's Earth Band	https://www.youtube.com/watch?v=nJ0VCr3Y8Pg	
76	44	2	volfied	1973	The Rain Song	Led Zeppelin	https://www.youtube.com/watch?v=TRt4hQs3nH0	
79	45	2	wharf_rat	1973	Love Is Everywhere	Pharoah Sanders	https://www.youtube.com/watch?v=zySVXOsrd6Y	
