new_order	order	seed	submitter	year	song	artist	link	submitters
127	1	0	aku chi	1985	How Soon Is Now?	The Smiths	https://youtu.be/4PIi1LWkfDE	jsh; aku chi
80	2	0	aku chi	1985	25 O'Clock	The Dukes Of Stratosphear	https://youtu.be/xGF7o_I4mAw	aku chi; xyrix
126	3	0	aku chi	1985	Walk of Life	Dire Straits	https://youtu.be/58TexsppsSU	aku chi; tufftaeh
81	4	0	muenstercheese	1985	Everybody Wants to Rule the World	Tears For Fears	https://youtu.be/awoFZaSuko4	volfied; jsh; muenstercheese; Valendale
13	5	0	nottoobad	1985	Swingin' Party	The Replacements	https://www.youtube.com/watch?v=r8ikJiKWubY	jsh; nottoobad
97	6	0	nottoobad	1985	And She Was	Talking Heads	https://www.youtube.com/watch?v=ZV9DNpkfak0	nottoobad; volfied
64	7	0	strumphf	1985	Rock Me Amadeus	Falco	https://www.youtube.com/watch?v=zUaSZXedM9Y	strumphf; nottoobad
7	8	0	volfied	1985	Brothers in Arms	Dire Straits	https://www.youtube.com/watch?v=mfmWvfU3dNw	volfied; Lemonspawn; tufftaeh
96	9	0	Wonko	1985	Downtown Train	Tom Waits	https://youtu.be/ZZ4UymgYKNE	volfied; Wonko
8	10	0	xyrix	1985	Money for Nothing	Dire Straits	https://www.youtube.com/watch?v=qmRzbKNbTsY	jsh; Mollo8; xyrix
17	11	0	xyrix	1985	Running Up That Hill (A Deal With God)	Kate Bush	https://www.youtube.com/watch?v=d7fmB8J2hJw	jsh; Valendale; xyrix
73	12	1	aku chi	1985	I Dreamed a Dream (Live)	Ruthie Henshall	https://youtu.be/-p6OH7FoWoQ	
25	13	1	alatar224	1985	Summer	Meryl Streep; George Winston	https://www.youtube.com/watch?v=3sb9-z1oyqw	
82	14	1	assemble_me	1985	Intrigue In Tangiers	The Chameleons	https://youtu.be/S7NGR-MO2vI	
5	15	1	Bluey The Bear	1985	Hounds of Love	Kate Bush	https://www.youtube.com/watch?v=QJAtb3_m2Vc	
119	16	1	Donald X.	1985	Rain Dogs	Tom Waits	https://www.youtube.com/watch?v=qTlkVTwMLFs	
34	17	1	dryope	1985	The Other Stranger	Doxa Sinistra	https://youtu.be/dGZY23ZHbVw	
78	18	1	jsh	1985	Sub-Culture	New Order	https://www.youtube.com/watch?v=ugg4tWCvkHg	
90	19	1	Komaitho	1985	椿姫 ジュリアーナ (Tsubakihime Juliana)	中森明菜 (Nakamori Akina)	https://youtu.be/Z1Gk70_fQSw	
27	20	1	Lemonspawn	1985	It's Over	Daniel Johnston	https://youtu.be/Av3ClGXFrOw	
103	21	1	markusin	1985	If I Was	Midge Ure	https://www.youtube.com/watch?v=UHLO5XG4s9M	
98	22	1	Mollo8	1985	El Loco	Luzbel	https://youtu.be/CXr4v4cMQwQ	
75	23	1	pproteus	1985	Soba 23	Denis & Denis	https://www.youtube.com/watch?v=461G_JXDbcg	
58	24	1	Sharur	1985	If You Want Me To Stay	Red Hot Chili Peppers	https://youtu.be/jsXkP0HTf3w	
109	25	1	singletee	1985	Main Theme (Phenomena)	Goblin	https://www.youtube.com/watch?v=eHMT0SGnD1E	
23	26	1	strumphf	1985	Walking On Sunshine	Katrina & The Waves	https://www.youtube.com/watch?v=rmdiaQM43bk	
115	27	1	SuperDuper	1985	Time	Tom Waits	https://youtu.be/VhWTDvPLGTE	
46	28	1	tufftaeh	1985	Starke Schläge	Klaus Lage Band	https://www.youtube.com/watch?v=LYpqfIEmy-Y	
28	29	1	Valendale	1985	Some Like It Hot	The Power Station	https://youtu.be/iX51ErAJlK8	
53	30	1	wharf_rat	1985	Conga (Pablo Flores Dance Mix)	Miami Sound Machine	https://www.youtube.com/watch?v=JzO4La_1dA8	
