new_order,order,seed,submitter,year,song,artist,link,submitters
26,73,3,markusin,2020,The Pelican,Sarah Davachi,https://www.youtube.com/watch?v=Ze_zliM1No0,
72,74,3,Mollo8,2020,Cosmos (ft. La Era de Acuario),Jet Nebula,https://youtu.be/hN2jkr2sO24,
111,75,3,Mort,2020,Deku,Kaguu,https://youtu.be/QKcPVpb8LW0,
22,76,3,MuensterCheese,2020,Nobody Likes The Opening Band,I DONT KNOW HOW BUT THEY FOUND ME,https://youtu.be/-TEZouWZBUo,
4,77,3,nottoobad,2020,Lilacs,Waxahatchee,https://www.youtube.com/watch?v=OaA7I7B1pOk,
56,78,3,pproteus,2020,Cowboys And Indians,Trent Reznor & Atticus Ross,https://www.youtube.com/watch?v=hj51z4CgfjA,
35,79,3,Shael,2020,Lonely Ones,LOVA,https://youtu.be/bTyGlVtikSA,
54,80,3,Sharur,2020,Fatalitetens Form 致命的形狀,"Gong Gong Gong (工工工), Anton Rothstein, Angel Wei Bernild",https://gonggonggong.bandcamp.com/track/fatalitetens-form,
123,81,3,singletee,2020,Armageddon,Tsutomu Narita feat. Emi Evans,https://www.youtube.com/watch?v=3RSakx5QwmQ,
75,82,3,strumphf,2020,Love You So Bad,Ezra Furman,https://www.youtube.com/watch?v=EJYskm9x284,
71,83,3,SuperDuper,2020,Lost Horse,Asaf Avidan,https://youtu.be/98_7FHfP_tE,
87,84,3,tufftaeh,2020,What the What,Deep Purple,https://www.youtube.com/watch?v=joMyO-BayNk,
31,85,3,Valendale,2020,Becky—Center of Attention,Masakazu Sugimori,https://youtu.be/9RayMtdOX5Y,
42,86,3,volfied,2020,Televised Mind,Fontaines D.C.,https://www.youtube.com/watch?v=CXEACtcEM4k,
108,87,3,wharf_rat,2020,Go Away,Jeff Parker,https://www.youtube.com/watch?v=0pO2wlIg018,
18,88,3,xyrix,2020,Movement 2,EMS Synthi 100,https://www.youtube.com/watch?v=bJI66xgxJ9s,
74,89,4,aku chi,2020,Stomp (feat. Icy Black),Craig Craig,https://youtu.be/t4vllkEzQJ0,
46,90,4,alatar224,2020,Teek,Kaki King,https://www.youtube.com/watch?v=_3Y_ZA1CJWI,
14,91,4,assemble_me,2020,Stray Fantasies,Mint Julep,https://youtu.be/dTOQJwie0n4,
93,92,4,biscuitsjoe,2020,Dug Up Proust,The New Restaurants,https://www.youtube.com/watch?v=BkydrCm3oQ8,
34,93,4,Cave-o-sapien,2020,I'm Not Getting Excited,The Beths,https://www.youtube.com/watch?v=m6f5gFMjpNk,
7,94,4,Donald X.,2020,Stronger,Dirt Poor Robins,https://www.youtube.com/watch?v=K4l4OyIHqZc,
124,95,4,Donkey-Dude,2020,Come and Go,Juice WRLD and Marshmello,https://www.youtube.com/watch?v=5Di20x6vVVU,
50,96,4,dryope,2020,Spirit of Ecstasy,nthng,https://youtu.be/99ERHS9z-v4,
58,97,4,jsh,2020,My Rajneesh,Sufjan Stevens,https://www.youtube.com/watch?v=jn7_JpmhZP0,
60,98,4,Komaitho,2020,OUTDOORS,Salomea,https://youtu.be/JerQ99uH4QY,
12,99,4,Lemonspawn,2020,Don't Start Now,Dua Lipa,https://youtu.be/Bh0saktPjSE,
68,100,4,markusin,2020,So Bad,STAYC,https://www.youtube.com/watch?v=F383-WpFFao,
84,101,4,Mollo8,2020,Cumbia del Monte Fuji,Frente Cumbiero & Minyo Crusaders,https://youtu.be/GjiNLE_IUpI,
105,102,4,Mort,2020,Canary Yellow,Haken,https://youtu.be/VgoY2dVeK5A,
80,103,4,MuensterCheese,2020,Razzmatazz,I DONT KNOW HOW BUT THEY FOUND ME,https://youtu.be/vGYI6fGuut4,
92,104,4,nottoobad,2020,Kyoto,Phoebe Bridgers,https://www.youtube.com/watch?v=Z61I9wW_t3w,
116,105,4,Shael,2020,Violence,Tristam,https://youtu.be/S1CaLdzwuU4,
53,106,4,Sharur,2020,Clang 2,Reece Cox,https://youtu.be/-kdI78-PRLc,
28,107,4,singletee,2020,General Nausea,Gooseworx,https://www.youtube.com/watch?v=YQ1VGq1Sc8M,
96,108,4,strumphf,2020,Invisible String,Taylor Swift,https://www.youtube.com/watch?v=OPehkjZFAOE,
63,109,4,SuperDuper,2020,Lost Day,Other Lives,https://youtu.be/3i1eKFCgtzk,
70,110,4,tufftaeh,2020,Ex-Con,Larkin Poe,https://www.youtube.com/watch?v=6i72SP0kcH4,
77,111,4,Valendale,2020,Honor's Theme (Vocal Version),Masakazu Sugimori,https://youtu.be/YJoOWR1cz90,
91,112,4,volfied,2020,On the Floor,Perfume Genius,https://www.youtube.com/watch?v=UCiIUTjV9o8,
119,113,4,wharf_rat,2020,You Make Me Feel Brand New,Dezron Douglas & Brandee Younger,https://www.youtube.com/watch?v=kn71f8ecnJ8,
78,114,4,xyrix,2020,Iniziazione,LF58,https://www.youtube.com/watch?v=nEBsIxX1NzE,
82,115,5,aku chi,2020,The Ceiling,Lewis Del Mar,https://youtu.be/2Im0usdYGVs,
102,116,5,alatar224,2020,Shellfish Mademoiselle,Róisín Murphy,https://www.youtube.com/watch?v=lLHtw-HakQ8,
81,117,5,assemble_me,2020,Napoleon,Riki,https://youtu.be/uq_6cq4AEko,
136,118,5,biscuitsjoe,2020,Alexandra,Scott Kodi,https://www.youtube.com/watch?v=wZ-Za8KojNE,
89,119,5,Bluey The Bear,2020,Caroline,Arlo Parks,https://www.youtube.com/watch?v=T4kYkFRYbaU,
16,121,5,Donkey-Dude,2020,Sky,Playboi Carti,https://www.youtube.com/watch?v=GYE9H4SMq5E,
130,120,5,Donald X.,2020,Fetch the Bolt Cutters,Fiona Apple,https://www.youtube.com/watch?v=emXYPRlVBas,
120,122,5,dryope,2020,Moving Secret Money,Vatican Shadow,https://youtu.be/O5AZbNQT8Ss,
104,124,5,Komaitho,2020,Down The Line,Remi Wolf,https://youtu.be/_eEe2P6LOU8,
30,128,5,Mort,2020,Demons,The Pineapple Thief,https://youtu.be/rljS4gjt02E,
133,123,5,jsh,2020,Good Days,SZA,https://www.youtube.com/watch?v=oh64haEP9g8,
64,129,5,nottoobad,2020,Devotion,Margaret Glaspy,https://www.youtube.com/watch?v=fIHh-lMBqWE,
15,132,5,strumphf,2020,Wildest Dreams,Duomo,https://www.youtube.com/watch?v=gn7HgzOEdHU,
138,125,5,Lemonspawn,2020,Savage (Remix feat. Beyoncé),Megan Thee Stallion,https://youtu.be/lEIqjoO0-Bs,
44,133,5,SuperDuper,2020,I Contain Multitudes,Bob Dylan,https://youtu.be/pgEP8teNXwY,
134,126,5,markusin,2020,One Day You Finally Knew (Slowed Remix),Chad Lawson,https://www.youtube.com/watch?v=-2fL493xVzY,
29,134,5,tufftaeh,2020,Under The Influence,Volbeat,https://www.youtube.com/watch?v=Vep2EGUeHVM,
129,127,5,Mollo8,2020,Time (You and I),Khruangbin,https://youtu.be/5Y0da_fSK8I,
118,135,5,Valendale,2020,The Box,Roddy Ricch,https://youtu.be/uLHqpjW3aDs,
110,137,5,wharf_rat,2020,Safe,Julianna Barwick,https://www.youtube.com/watch?v=onqB3oog6Sw,
131,130,5,Shael,2020,Good Together,"Shallou, Ashe",https://youtu.be/QyYcUCgMCY0,
137,131,5,Sharur,2020,Break My Heart,Dua Lipa,https://youtu.be/jgh8owCuX78,
132,136,5,volfied,2020,Can I Believe You,Fleet Foxes,https://www.youtube.com/watch?v=M2cq4u6n8sc,
135,138,5,xyrix,2020,Emulator,Jonus Eric,https://www.youtube.com/watch?v=1lwyWdtBaOE,
