new_order	order	seed	submitter	year	song	artist	link	submitters
42	1	0	aku chi	2006	Crazy	Gnarls Barkley	https://youtu.be/msrkhrdQHLU	aku chi; Lemonspawn
121	2	0	aku chi	2006	Knights of Cydonia	Muse	https://youtu.be/GjXWtEqs8I4	aku chi; Lemonspawn; singletee
16	3	0	bazkitcase5	2006	Breath	Breaking Benjamin	https://youtu.be/Ib9swdvt3mA	aku chi; bazkitcase5
92	4	0	bazkitcase5	2006	Welcome to the Black Parade	My Chemical Romance	https://youtu.be/v_uncMEJkBc	bazkitcase5; Valendale; muenstercheese
36	5	0	Cave-o-sapien	2006	Over and Over	Hot Chip	https://www.youtube.com/watch?v=hl8JLyhgZRE	xyrix; Cave-o-sapien
83	6	0	Cave-o-sapien	2006	Silent Shout	The Knife	https://www.youtube.com/watch?v=fTXgWu8I3-g	xyrix; Cave-o-sapien
45	7	0	jsh	2006	Lloyd, I'm Ready To Be Heartbroken	Camera Obscura	https://www.youtube.com/watch?v=d2cauIESM8c	jsh; pproteus
34	8	0	markusin	2006	Snow (Hey Oh)	Red Hot Chili Peppers	https://www.youtube.com/watch?v=ifXalt3MJtM	markusin; aku chi; bazkitcase5
66	9	0	Mollo8	2006	Diablo Rojo	Rodrigo y Gabriela	https://youtu.be/0bLEzeW5CJQ	singletee; Mollo8
97	10	0	strumphf	2006	When You Were Young	The Killers	https://www.youtube.com/watch?v=4H3ZgR0EESM	aku chi; strumphf
1	11	0	SuperDuper	2006	On the Radio	Regina Spektor	https://youtu.be/9lrDdmmQvzw	Donald X.; SuperDuper
26	12	0	xyrix	2006	Gold Lion	Yeah Yeah Yeahs	https://www.youtube.com/watch?v=KbXeXkrnPsA	aku chi; xyrix
21	13	1	aku chi	2006	Three Seed	Silversun Pickups	https://youtu.be/0kdH3JuK_Po	
116	14	1	alatar224	2006	Aymotche Terabu / Shemonmwanaye	Getatchew Mekuria, The Ex & Guests	https://www.youtube.com/watch?v=8NSIk_U2E80	
71	15	1	assemble_me	2006	Lost	The Mary Onettes	https://youtu.be/XA51S7IXcUo	
126	16	1	bazkitcase5	2006	The Rest of My Life	Less Than Jake	https://youtu.be/ER-44OEtOO8	
6	17	1	Bluey The Bear	2006	Emily	Joanna Newsom	https://www.youtube.com/watch?v=D1lBOA_8OZ0	
86	18	1	Donald X.	2006	Revolver	Isobel Campbell and Mark Lanegan	https://www.youtube.com/watch?v=9rGZGzDRerk	
41	19	1	dryope	2006	Lionheart	Emancipator	https://youtu.be/i39G8xKobno	
54	20	1	jsh	2006	Snails	The Format	https://www.youtube.com/watch?v=TP6HVNV4S48	
33	21	1	Komaitho	2006	To a Friend	Alexisonfire	https://youtu.be/pHV1syHJu3A	
89	22	1	Lemonspawn	2006	Should've Said No (live)	Taylor Swift	https://youtu.be/v9bxXO9fj98	
81	23	1	markusin	2006	Coupe de Boule	La Plage	https://www.youtube.com/watch?v=-Rt95z4FQ2I	
100	24	1	Mollo8	2006	Ixtapa	Rodrigo y Gabriela	https://youtu.be/-V3qCq48bP0	
14	25	1	Mort	2006	Hyperventilate	Frost*	https://youtu.be/3MExUWJqV0U	
50	26	1	muenstercheese	2006	MakeDamnSure	Taking Back Sunday	https://youtu.be/Oww8o0znUuQ	
114	27	1	nottoobad	2006	Field Below	Regina Spektor	https://www.youtube.com/watch?v=gSS8zD-9YfM	
76	28	1	pproteus	2006	Jesus Christ	Brand New	https://www.youtube.com/watch?v=6pXU7JumV_Y	
94	29	1	Sharur	2006	Church Is Out	Charlie Musselwhite	https://youtu.be/ify5-c0UJFY	
122	30	1	singletee	2006	Flower	Follow the Train	https://www.youtube.com/watch?v=b_6YcQ-o_Nw	
30	31	1	strumphf	2006	Limbs	Agalloch	https://www.youtube.com/watch?v=fC0OFbhLeqk	
102	32	1	SuperDuper	2006	Supermassive Black Hole	Muse	https://youtu.be/N-_mHedypEU	
117	33	1	Valendale	2006	Brand New World	D-51	https://youtu.be/_ULPAtFBkxc	
119	34	1	volfied	2006	Motor Skills	The Apparitions	https://www.youtube.com/watch?v=f2lVixHeYIs	
69	35	1	wharf_rat	2006	Pass the Hatchet, I Think I'm Goodkind	Yo La Tengo	https://www.youtube.com/watch?v=3ngROr7CZ8c	
73	36	1	Wonko	2006	Say It Right	Nelly Furtado	https://www.youtube.com/watch?v=UyHUvm8T6CY	
5	37	1	xyrix	2006	The Empty Threats of a Little Lord	Sunset Rubdown	https://www.youtube.com/watch?v=TdUSqkLKz2o	
11	38	2	aku chi	2006	Phantom Limb	The Shins	https://youtu.be/XoMAbmZw3mI	
64	39	2	alatar224	2006	Semen Song for James Bidgood	Matmos	https://www.youtube.com/watch?v=e8qLRgM6APY	
125	40	2	assemble_me	2006	Enemies Like This	Radio 4	https://youtu.be/YwBcyBeOv1c	
107	41	2	bazkitcase5	2006	High School Never Ends	Bowling For Soup	https://youtu.be/RklQL7e-dKQ	
61	42	2	Bluey The Bear	2006	Only Skin	Joanna Newsom	https://www.youtube.com/watch?v=DQSbjJ6EVmw	
58	43	2	Donald X.	2006	A Method	TV on the Radio	https://www.youtube.com/watch?v=Wth4L-rWt3U	
28	44	2	dryope	2006	Parade	Susumu Hirasawa	https://youtu.be/APIKVLw1tT0	
24	45	2	jsh	2006	The Mistress Witch from McClure (or, the Mind That knows itself)	Sufjan Stevens	https://www.youtube.com/watch?v=bCb9jxqQYME	
39	46	2	Komaitho	2006	Boiled Frogs	Alexisonfire	https://youtu.be/ioadFzq_6n0	
78	47	2	Lemonspawn	2006	The Long Way Around	The Chicks	https://youtu.be/B1qgazBdKj8	
55	48	2	Mollo8	2006	Sognare	División Minúscula	https://youtu.be/yrEUTBuVhHA	
23	49	2	Mort	2006	Periscope	Andromeda	https://youtu.be/CZuLGD1Li6Y	
120	50	2	muenstercheese	2006	Mama	My Chemical Romance	https://youtu.be/Fs7s1gmpPEY	
20	51	2	nottoobad	2006	All My Days	Alexi Murdoch	https://www.youtube.com/watch?v=5NFkFVe93NM	
31	52	2	pproteus	2006	Code Monkey	Jonathan Coulton	https://www.youtube.com/watch?v=AEBld6I_AKs	
118	53	2	Sharur	2006	My Son John	John C. Reilly	https://youtu.be/hd5YcGHwiso	
9	54	2	singletee	2006	The Sound of Transfixing Bonds	佐橋 俊彦 (Toshihiko Sahashi)	https://www.youtube.com/watch?v=PMLylhw_wes	
77	55	2	strumphf	2006	From Off to On	The Knife	https://www.youtube.com/watch?v=UUVzCfUUSBg	
85	56	2	SuperDuper	2006	Promises	Badly Drawn Boy	https://youtu.be/pZerg1mzR68	
112	57	2	Valendale	2006	Halloween	The Creepshow	https://youtu.be/zSA-7unR1DQ	
49	58	2	volfied	2006	Sahib Teri Bandii/Maki Madni	Derek Trucks	https://www.youtube.com/watch?v=YHt8HQ8f3yE	
67	59	2	wharf_rat	2006	5/4	Clogs	https://www.youtube.com/watch?v=4MHkU24gKm4	
18	60	2	Wonko	2006	King Without A Crown	Matisyahu	https://www.youtube.com/watch?v=ChV5BZ8SmS0	
57	61	2	xyrix	2006	No Party (The Field Remix)	Marit Bergman	https://www.youtube.com/watch?v=cEKfM3pANi0	
74	62	3	alatar224	2006	TOMHANKS'S'ES(EM)ANTICS'ES'S	Giraffes? Giraffes!	https://www.youtube.com/watch?v=FaZmS5mZ6T4	
