new_order	order	seed	submitter	year	song	artist	link	submitters
65	1	0	aku chi	1964	House of the Rising Sun	The Animals	https://youtu.be/X6M_gm5yNDU	assemble_me; aku chi; Donald X.; pproteus; Lemonspawn; Sharur; nottoobad
31	2	0	aku chi	1964	Because	The Dave Clark Five	https://youtu.be/a3lqC7evfKk	aku chi; Sharur
4	3	0	aku chi	1964	My Guy	Mary Wells	https://youtu.be/4WT7nBGX5eU	aku chi; Sharur
57	4	0	assemble_me	1964	You Really Got Me	The Kinks	https://youtu.be/WDZ86JiuCeA	assemble_me; jsh; Lemonspawn; nottoobad
20	5	0	Bluey The Bear	1964	Egyptian Shumba	The Tammys	https://www.youtube.com/watch?v=Pi7INpPdE2Y	jsh; Bluey The Bear
8	6	0	Donald X.	1964	The Girl from Ipanema (feat. Astrud Gilberto)	Stan Getz & João Gilberto	https://www.youtube.com/watch?v=EKEmQooklDw	Donald X.; xyrix
26	7	0	jsh	1964	Mississippi Goddam	Nina Simone	https://www.youtube.com/watch?v=teqWnF-HD1M	jsh; Bluey The Bear
9	8	0	Lemonspawn	1964	Viva Las Vegas	Elvis Presley	https://youtu.be/V4svP_r34F0	Lemonspawn; Mollo8
18	9	0	markusin	1964	If I Were a Rich Man	Sheldon Harnick and Jerry Bock	https://www.youtube.com/watch?v=Ybwbk2ulhBU	markusin; Komaitho
13	10	0	markusin	1964	The Times They Are a-Changin'	Bob Dylan	https://www.youtube.com/watch?v=s3qndXvBmr0	markusin; nottoobad
6	11	0	nottoobad	1964	Don't Let Me Be Misunderstood	Nina Simone	https://www.youtube.com/watch?v=9ckv6-yhnIY	volfied; nottoobad
29	12	0	strumphf	1964	Walk On By	Dionne Warwick	https://youtu.be/vsGsCvJWEo8	jsh; Sharur; Wonko; strumphf
3	13	0	strumphf	1964	Under the Boardwalk	The Drifters	https://youtu.be/uNbmmclS3Uo	aku chi; Sharur; Lemonspawn; strumphf
1	14	0	Valendale	1964	Tradition (Fiddler on the Roof)	Jerry Bock; Sheldon Harnick; Zero Mostel and Chorus	https://www.youtube.com/watch?v=va0UBPt7Z1E	pproteus; Valendale
2	15	0	Valendale	1964	Secret Agent Man	Johnny Rivers	https://youtu.be/QKNDRndc2bs	pproteus; Valendale
32	16	0	volfied	1964	In C (European Music Project, zignorii++)	Terry Riley	https://www.youtube.com/watch?v=DpYBhX0UH04	volfied; alatar224
28	17	0	volfied	1964	Gloria	Them	https://www.youtube.com/watch?v=xXMrsjollCs	volfied; Sharur
5	18	0	Wonko	1964	A Change is Gonna Come	Sam Cooke	https://www.youtube.com/watch?v=aQbsngo-aGw	jsh; volfied; Wonko; nottoobad
10	19	1	alatar224	1964	Come On In	The Even Dozen Jug Band	https://www.youtube.com/watch?v=Ocsr6M86vmQ	
12	20	1	Komaitho	1964	情人的眼睛 (A Lover's Eyes)	潘秀琼 (Poon Sow Keng)	https://youtu.be/XTMiUJL3WW0	
42	21	1	Lemonspawn	1964	Don't Rain on My Parade	Barba Streisand	https://youtu.be/Q7pyuY1FmbE	
21	22	1	Mollo8	1964	I'll Follow the Sun	The Beatles	https://youtu.be/28d_A_NuJ7A	
22	23	1	pproteus	1964	Harlem Shuffle	Bob & Earl	https://www.youtube.com/watch?v=6bZyk5mixXk	
