new_order	order	seed	submitter	year	song	artist	link	submitters
97	1	0	aku chi	2008	Viva la Vida	Coldplay	https://youtu.be/MY4eEOB1wSI	aku chi; pproteus
15	2	0	aku chi	2008	The Day That Never Comes	Metallica	https://youtu.be/YinYm4mbpvQ	aku chi; Lemonspawn
63	3	0	demonsdemon	2008	Shooting Rockets (From the Desk of Night's Ape)	Destroyer	https://www.youtube.com/watch?v=8c2zXNG_uzI	Sewerpolka; demonsdemon
72	4	0	demonsdemon	2008	Ready for the Floor	Hot Chip	https://www.youtube.com/watch?v=fkx1z8O9bFE	xyrix; Cave-o-sapien; demonsdemon
113	5	0	Sewerpolka	2008	Complaint Department	Lykke Li	https://www.youtube.com/watch?v=Av4iJlZLnyY	Sewerpolka; demonsdemon
58	6	0	volfied	2008	Mykonos	Fleet Foxes	https://www.youtube.com/watch?v=4-IgBcEkXSw	jsh; Cave-o-sapien; volfied
45	7	0	xyrix	2008	Kissing the Beehive	Wolf Parade	https://www.youtube.com/watch?v=VGS5HKelm4E	xyrix; Cave-o-sapien
41	8	0	xyrix	2008	Where You Go I Go Too	Lindstrøm	https://www.youtube.com/watch?v=LtfrL8m4GJA	xyrix; demonsdemon
51	9	1	alatar224	2008	Na Na Na (Live)	Theresa Andersson	https://www.youtube.com/watch?v=etpTOa8l53Q	
28	10	1	assemble_me	2008	Sleep	She Wants Revenge	https://youtu.be/3Y6WQaoC6y4	
67	11	1	Bluey The Bear	2008	American Boy	Estelle feat. Kanye West	https://m.youtube.com/watch?v=pn2bbcRXdJ4	
90	12	1	Cave-o-sapien	2008	Voice in Headphones	Mount Eerie	https://www.youtube.com/watch?v=if4q9AGM6_g	
53	13	1	Disconnected	2008	Disconnected	In Flames	https://youtu.be/GqTpqGkFoXo	
25	14	1	Donald X.	2008	The Arm	Islands	https://www.youtube.com/watch?v=dAkN62wiEtE	
9	15	1	dryope	2008	Happy House	The Juan MacLean	https://youtu.be/Wma7wbj0Dnw	
19	16	1	Gizmo Gomez	2008	You'll Cowards Don't Even Smoke Crack	Viper	https://www.youtube.com/watch?v=tsfnuyyjaB0	
83	17	1	jsh	2008	Pursuing My True Self	Shoji Meguro	https://www.youtube.com/watch?v=Ul0sp782hIQ	
82	18	1	Lemonspawn	2008	I Can't Stay	The Killers	https://youtu.be/i2T5DFKz1vg	
38	19	1	markusin	2008	Sleep Awake	Mother Mother	https://www.youtube.com/watch?v=Wwb35JpIe-4	
52	20	1	Mollo8	2008	Tijuana Sound Machine	Nortec Collective Presents: Bostich + Fussible	https://youtu.be/EUMi6_f5Z3Y	
118	21	1	Mort	2008	Till We Make Our Ascent	The Reign of Kindo	https://youtu.be/zYYzMSHQzXI	
112	22	1	pproteus	2008	Because Because	Bend Sinister	https://www.youtube.com/watch?v=VYFku1dWsXs	
26	23	1	Sewerpolka	2008	You Came to Me	Beach House	https://www.youtube.com/watch?v=8NCOtVClrio	
104	24	1	sharur	2008	Going Home	Sean Costello	https://youtu.be/SbTjxk-yWH4	
56	25	1	singletee	2008	Ghosts	Ladytron	https://www.youtube.com/watch?v=w4m-TpUhOHg	
65	26	1	strumphf	2008	This Is My Life	Firewater	https://www.youtube.com/watch?v=bFR2r-MwPAY	
94	27	1	Valendale	2008	Dead End	You Love Her Coz She's Dead	https://youtu.be/rQltA9tqmFA	
98	28	1	wharf_rat	2008	Andelmans' Yard	Mike Gordon	https://www.youtube.com/watch?v=7SPfZc6J5ts	
74	29	1	Wonko	2008	We Walk	The Ting Tings	https://youtu.be/tnf53XAYTaQ	
7	30	2	aku chi	2008	Cath...	Death Cab for Cutie	https://youtu.be/IJ5FiFHmAUY	
43	31	2	alatar224	2008	We Are Rockstars	Does It Offend You, Yeah?	https://www.youtube.com/watch?v=ygtNdUuC84U	
78	32	2	assemble_me	2008	Unreal Dimensions	Thermostatic	https://youtu.be/bzk9oVfQLyg	
128	33	2	Bluey The Bear	2008	This Is	Grace Jones	https://m.youtube.com/watch?v=92oxbPxzh5s	
105	34	2	Cave-o-sapien	2008	Our Socks Forever More	This is the Kit	https://www.youtube.com/watch?v=YfPIMoYWN24	
12	35	2	demonsdemon	2008	Own Thing (Part 1)	DAT politics	https://www.youtube.com/watch?v=8QM3Kki627o	
49	36	2	Donald X.	2008	5 Years Time	Noah & the Whale	https://www.youtube.com/watch?v=Y3PELIU1i4c	
100	37	2	dryope	2008	Wizards	YOU LOVE HER	https://youtu.be/QyFdCKOSjRQ	
54	38	2	Gizmo Gomez	2008	Let's Tap (Title Theme)	SEGA	https://www.youtube.com/watch?v=NCxBBwKyuqs	
87	39	2	jsh	2008	Inní mér syngur vitleysingur	Sigur Rós	https://www.youtube.com/watch?v=mLTT3aQshPk	
14	40	2	Lemonspawn	2008	Forever & Always	Taylor Swift	https://youtu.be/SR7Ewm8g-mk	
110	41	2	markusin	2008	Scorpion Flower	Moonspell	https://www.youtube.com/watch?v=7vyojo9ui58	
3	42	2	Mollo8	2008	Blue Bird	いきものがかり	https://youtu.be/iCE_4Iqklz4	
89	43	2	Mort	2008	Infinite Mirror	LITE	https://youtu.be/bzQFu1kEHWQ	
30	44	2	pproteus	2008	Killing Off Our Friends	The Coast	https://www.youtube.com/watch?v=HEj_P728srI	
107	45	2	Sewerpolka	2008	Crimewave	Crystal Castles vs. HEALTH	https://www.youtube.com/watch?v=E8lwOLWhsoo	
123	46	2	sharur	2008	Blues Concerto	The Homemade Jamz Blues Band	https://youtu.be/L57A9uuS18U	
116	47	2	singletee	2008	Black Panther	Crystal Castles	https://www.youtube.com/watch?v=zQXHAPf5ijQ	
121	48	2	strumphf	2008	Transliterator	DeVotchKa	https://www.youtube.com/watch?v=Gqs17Fk_rhM	
44	49	2	Valendale	2008	It's Dark, Raining, and The Leaves Certainly Aren't Done Falling	ninetales	https://youtu.be/pghriMj0z4I	
68	50	2	volfied	2008	DLZ	TV on the Radio	https://www.youtube.com/watch?v=0BAtp5yi5-4	
20	51	2	wharf_rat	2008	Strasbourg St. Denis (Live At The New Morning)	The Roy Hargrove Quintet	https://www.youtube.com/watch?v=L0WXEzwZOv0&list=PLF1pWpGlqG_Xbxu0nYKuAOKKCrp5vxbiV&index=1	
37	52	2	Wonko	2008	That's Not My Name	The Ting Tings	https://youtu.be/JFh_xNsx2u0	
23	53	2	xyrix	2008	Machine Gun	Portishead	https://www.youtube.com/watch?v=anfao_kMVGs	
4	54	3	aku chi	2008	Sometime Around Midnight	The Airborne Toxic Event	https://youtu.be/m53cWa-CdUg	
2	55	3	alatar224	2008	Uzbekistan	The Sound of Animals Fighting	https://www.youtube.com/watch?v=MNbzxV0XmOk	
125	56	3	assemble_me	2008	Windscreen	Martial Canterel	https://youtu.be/r3n4xjtbV5A	
111	57	3	Bluey The Bear	2008	Mercy	Duffy	https://m.youtube.com/watch?v=rOu4wwI0xF8	
127	58	3	Cave-o-sapien	2008	Halfway Home	TV on the Radio	https://www.youtube.com/watch?v=CBEht-RY8oc	
122	59	3	Donald X.	2008	Love Me Dead	Ludo	https://www.youtube.com/watch?v=DrQgUfkYhic	
119	60	3	dryope	2008	Shine	Demians	https://youtu.be/LAIJT8EETq0	
50	61	3	Gizmo Gomez	2008	King Dedede Battle	Jun Ishikawa	https://www.youtube.com/watch?v=Dng9UWubo1k	
93	62	3	jsh	2008	The Rip	Portishead	https://www.youtube.com/watch?v=artaYKPCt_E	
75	63	3	Lemonspawn	2008	Numb	Oh Land	https://youtu.be/3Kbpru1Pu4k	
33	64	3	markusin	2008	The Awkward Wind Wheel	Kayo Dot	https://www.youtube.com/watch?v=et1KXYybDbM	
95	65	3	Mollo8	2008	花は桜 君は美し	いきものがかり	https://youtu.be/dW1HxMxDgFg	
60	66	3	Mort	2008	Youngblood	Russian Circles	https://youtu.be/CTmHy7pc2K8	
34	67	3	pproteus	2008	Ain't No Rest For The Wicked	Cage The Elephant	https://www.youtube.com/watch?v=e2Z0sON2UPc	
69	68	3	sharur	2008	Strange Times	The Black Keys	https://youtu.be/N-cPWw_fMkY	
10	69	3	singletee	2008	A&E	Goldfrapp	https://www.youtube.com/watch?v=kVPVacTqgWg	
79	70	3	strumphf	2008	A-Punk	Vampire Weekend	https://www.youtube.com/watch?v=yFSe9P5_Irk	
36	71	3	Valendale	2008	Closer to the Truth	Cryoshell	https://youtu.be/RRRox_PXymo	
86	72	3	volfied	2008	Frankie Ukelele and the Fire in the Lake	Bill Nelson	https://www.dropbox.com/s/0403zdchrbmgjf5/12%20Frankie%20Ukelele%20and%20the%20Fire%20in%20the%20Lake.mp3?dl=0	
126	73	3	wharf_rat	2008	Ragged Wood	Fleet Foxes	https://www.youtube.com/watch?v=a2KOI8Lt2Lc	
59	74	3	Wonko	2008	The Boss	Rick Ross	https://youtu.be/_OKflpHyHnY	
96	75	3	xyrix	2008	Love Juice (Danger TV Remix)	Symbolone	https://www.youtube.com/watch?v=cUYCu08jn34	
5	76	4	alatar224	2008	I Saw Brown	Black Moth Super Rainbow	https://www.youtube.com/watch?v=WdnH3gEtFlI	
22	77	4	assemble_me	2008	Dawn // Night	Zeigeist	https://youtu.be/0vSGvYcBnq0	
92	78	4	Cave-o-sapien	2008	Drops in the River	Fleet Foxes	https://www.youtube.com/watch?v=ENPrHO8Rlr0	
13	79	4	demonsdemon	2008	Entropy Reigns (In the Celestial City)	Kelley Polar	https://www.youtube.com/watch?v=jW0IbpJcOmo	
70	80	4	Donald X.	2008	You Were Too Old for Me	Pas/Cal	https://www.youtube.com/watch?v=Y06_xOrAu6w	
99	81	4	dryope	2008	Honey	Move D, Benjamin Brunn	https://youtu.be/MklxuUcAzsE	
40	82	4	Gizmo Gomez	2008	Title Theme	Chef Boyardee	https://www.youtube.com/watch?v=lWKQiZVBtu4	
85	83	4	jsh	2008	Theme (Space Jam)	Qazar	https://www.youtube.com/watch?v=lWKQiZVBtu4	
8	84	4	Lemonspawn	2008	Touch My Body	Mariah Carey	https://youtu.be/Vgs_T7nVJVE	
117	85	4	markusin	2008	Sex On Fire	Kings of Leon	https://www.youtube.com/watch?v=WQqiO_VmLd8	
24	86	4	Mollo8	2008	Manía Cardiaca	Enjambre	https://youtu.be/FuC0O742JVQ	
109	87	4	Mort	2008	Nemesis	Aaron Parks	https://youtu.be/MX4-ldO4YXk	
61	88	4	pproteus	2008	Skinny Love	Bon Iver	https://www.youtube.com/watch?v=95FyXUHv8hk	
47	89	4	Sewerpolka	2008	A4	D. Lissvik	https://www.youtube.com/watch?v=fbICyL195SI	
80	90	4	sharur	2008	Ulysses	Franz Ferdinand	https://youtu.be/g-9th0mHT98	
102	91	4	singletee	2008	Propane Nightmares	Pendulum	https://www.youtube.com/watch?v=Ve4qfo7kXho	
42	92	4	strumphf	2008	Undone	DeVotchKa	https://www.youtube.com/watch?v=D6K_zN-Us1M	
18	93	4	Valendale	2008	Gives You Hell	The All-American Rejects	https://youtu.be/MhNeT9w43-k	
1	94	4	volfied	2008	31 Today	Aimee Mann	https://www.youtube.com/watch?v=ijKjLkYl9zg	
