new_order,order,seed,submitter,year,song,artist,link
66,57,2,xyrix,2016,Wet Bar,Body-san,https://www.youtube.com/watch?v=vmkBCKPIWig
85,58,3,aku chi,2016,Edge of Town,Middle Kids,https://www.youtube.com/watch?v=W5s5gNoeCis
13,59,3,alatar224,2016,"Tamiditine Tarhanam (My Love, I Tell You)",Bombino,https://www.youtube.com/watch?v=0zAGdp7RAPE
108,60,3,bazkitcase5,2016,Bored To Death,blink-182,https://youtu.be/8yGipyel-3I
91,61,3,Donald X.,2016,City of Stars,Ryan Gosling,https://www.youtube.com/watch?v=fQLAyvDNmUU
115,62,3,dryope,2016,Deep Down,Vacant,https://youtu.be/xwjEembhA6U
35,63,3,jsh,2016,California Kids,Weezer,https://www.youtube.com/watch?v=XEC4dpA9eJo
50,64,3,Lemonspawn,2016,Get Back Up Again,Anna Kendrick,https://youtu.be/HXhydpu8Cvs
14,65,3,markusin,2016,The House of Shame,Lacuna Coil,https://www.youtube.com/watch?v=ecwhVZFzYfM
109,66,3,Mollo8,2016,Vincent,Car Seat Headrest,https://youtu.be/49m5nW7TESc
1,67,3,Mort,2016,Mountain Heart,Church of the Cosmic Skull,https://youtu.be/WkqEmrRxGIg
68,68,3,MuensterCheese,2016,It's Gonna Get Weird,Neil Cicierega,https://youtu.be/4IFwYbm_x7w
71,69,3,nottoobad,2016,Canyon (Live),Joseph,https://www.youtube.com/watch?v=TeDh-3IKwgc&t=481s
107,70,3,pproteus,2016,Runnin',Pharrell Williams,https://www.youtube.com/watch?v=9jXQBMNe01c
77,71,3,S_Smart,2016,4ware,deadmau5,https://www.youtube.com/watch?v=cOD-R4hRUuM
110,72,3,saltroza,2016,Big Black Car,Gregory Alan Isakov with the Colorado Symphony,https://www.youtube.com/watch?v=x2_5sBMYPzY
42,73,3,Shael,2016,Sparkle,Radwimps,https://youtu.be/a2GujJZfXpg
10,74,3,Sharur,2016,Stranger Things,Kyle Dixon & Michael Stein,https://youtu.be/2obv0DHuhu4
116,75,3,singletee,2016,Banshee,Santigold,https://www.youtube.com/watch?v=sPSInjIIdY4
78,76,3,threelinewhip,2016,Ful Stop,Radiohead,https://www.youtube.com/watch?v=NHDOk7lA53w
2,77,3,tufftaeh,2016,Let It Burn,Blackberry Swamp,https://www.youtube.com/watch?v=8Jxe5LSdQq8
69,78,3,Valendale,2016,Graduation,Kero Kero Bonito,https://youtu.be/6iV-5CpJsmU
36,79,3,volfied,2016,Ebony and Ivy,Esperanza Spalding,https://www.youtube.com/watch?v=Ne0_sgKjtpU
83,80,3,Volrath,2016,You Will Never Be One Of Us,Nails,https://youtu.be/hGGGh03jN4w
49,81,3,wharf_rat,2016,Let Me Fall,Laura Mvula,https://www.youtube.com/watch?v=OlYyHuSjgSU
39,82,3,Wonko,2016,Mistake,Lake Street Dive,https://youtu.be/EV1LFbZozs8
112,83,3,xyrix,2016,The Lover That You Are,Bjarki,https://www.youtube.com/watch?v=MyHAx8y3HPU
105,84,4,aku chi,2016,Oblivius,The Strokes,https://www.youtube.com/watch?v=jEjdwhVuW74
117,85,4,alatar224,2016,Hellfaced,Obake,https://www.youtube.com/watch?v=L5x4ySp7vUM
79,86,4,bazkitcase5,2016,Gypsy Caravan,Wolfmother,https://youtu.be/KEGKuGgUv7s
122,87,4,Donald X.,2016,I'm Not Famous,AJR,https://www.youtube.com/watch?v=Oz2q2CVl0x4
60,88,4,dryope,2016,4D Anxiety,Youandewan,https://youtu.be/WYA6a6X5P7U
65,89,4,jsh,2016,Wave Goodnight To Me,Jeff Rosenstock,https://www.youtube.com/watch?v=o_qAKiK0Lc0
8,90,4,Lemonspawn,2016,Downtown,"Macklemore & Ryan lewis, Melle Mel, Grandmaster Caz, Kool Moe Dee, Eric Nally",https://youtu.be/l-uVkrzo8eU
22,91,4,markusin,2016,The Gates of Babylon,Volbeat,https://www.youtube.com/watch?v=hhgsPiSIZKE
27,92,4,Mollo8,2016,Victorious,Wolfmother,https://youtu.be/l6pgKJtK1Tc
58,93,4,Mort,2016,Sirály,Thy Catafalque,https://youtu.be/w1x5ycUhaDc
29,94,4,MuensterCheese,2016,Revolution Radio,Green Day,https://youtu.be/EHKEIbpTj9E
48,95,4,pproteus,2016,Another Day of Sun,Justin Hurwitz,https://www.youtube.com/watch?v=CWnYIb2lqpo
38,96,4,S_Smart,2016,Twisted By Design,Sum 41,https://www.youtube.com/watch?v=mIVBfPlf2zA
24,97,4,saltroza,2016,The Last Hawk,Shovels & Rope,https://www.youtube.com/watch?v=YiBNw-6HzQU
95,98,4,Shael,2016,Zen Zen Zense,Radwimps,https://youtu.be/n4o-i71Jz4E
61,99,4,Sharur,2016,Less Than Five Miles Away,Dawes,https://youtu.be/uvHiHPPddTw
17,100,4,singletee,2016,Suckerpunch,Delain,https://www.youtube.com/watch?v=JIYjcLcdUCA
124,101,4,threelinewhip,2016,Husk,Black Foxxes,https://www.youtube.com/watch?v=WVvXYJV48cE
52,102,4,tufftaeh,2016,Time for Bedlam,Deep Purple,https://www.youtube.com/watch?v=IfmXD90VWsg
6,103,4,Valendale,2016,Money Longer,Lil Uzi Vert,https://youtu.be/FkbvqYWZJss
3,104,4,volfied,2016,Mr. Wright,The Claypool Lennon Delirium,https://www.youtube.com/watch?v=Gp2EO0dtmK8
101,105,4,Volrath,2016,Saaremaa Vägmees,Metsatöll,https://youtu.be/AQwfYy_PcdY
120,106,4,wharf_rat,2016,Lowrider,Yussef Kamaal,https://www.youtube.com/watch?v=BSiuC4m9aKk
56,107,4,Wonko,2016,Side Pony,Lake Street Dive`,https://youtu.be/99QwAEJMhjc
25,108,4,xyrix,2016,Come,Bryce Helm,https://www.youtube.com/watch?v=LjsKr_G4TkM
33,109,5,aku chi,2016,Get Out,Frightened Rabbit,https://www.youtube.com/watch?v=2szhsFUafew
44,110,5,alatar224,2016,人魚の檻 [Ningyo no Ori],陰陽座 [Onmyo-za],https://www.youtube.com/watch?v=PScg-xSatQI
75,112,5,Bluey The Bear,2016,It's Just a Burning Memory,The Caretaker,https://www.youtube.com/watch?v=xADSDapqn9o
15,114,5,dryope,2016,Sun Ra,Mall Grab,https://youtu.be/TTVZWvbs0vk
53,115,5,jsh,2016,Daydreaming,Radiohead,https://www.youtube.com/watch?v=ngNGMIq8hBY
103,116,5,Lemonspawn,2016,Sorry,Beyoncé,https://youtu.be/3LfLc1lIF_M
74,117,5,markusin,2016,Egypt Theme: Atomic (Civilization VI),"Geoff Knorr, Phill Boucher",https://www.youtube.com/watch?v=koKQdZCIM_Y
32,120,5,nottoobad,2016,Move,Saint Motel,https://www.youtube.com/watch?v=kYlZybEDxA8
125,121,5,pproteus,2016,Homecoming Serf,Sidney Gish,https://www.youtube.com/watch?v=4E5n8eTM9M8
20,122,5,S_Smart,2016,Close Call,Justice,https://www.youtube.com/watch?v=w1GL8N7nCNw
128,123,5,saltroza,2016,Yesterday's On My Mind,Chris Cohen,https://www.youtube.com/watch?v=_71P82P5R2w
99,124,5,Shael,2016,Haiku,Headphone Activist,https://youtu.be/4xiZRYEasvY
12,126,5,singletee,2016,Cold Reading,Covenant,https://www.youtube.com/watch?v=zfdL0ictvXI
89,127,5,threelinewhip,2016,Velvet Inquisition,Hammers of Misfortune,https://www.youtube.com/watch?v=z7bDIWgq7p4
113,128,5,tufftaeh,2016,Rockabye,Clean Bandit feat. Sean Paul & Anne-Marie,https://www.youtube.com/watch?v=sP2yc_TVuzQ
82,129,5,Valendale,2016,We Are Number One,xDEFCONx,https://youtu.be/b0nT8TdlEHg
98,130,5,volfied,2016,Identikit,Radiohead,https://www.youtube.com/watch?v=QZfK4zOQQ3E
46,131,5,Volrath,2016,Saturaatio,Oranssi Pazuzu,https://youtu.be/76zWVrj3PHw
94,133,5,Wonko,2016,I Took a Pill in Ibiza,Mike Posner,https://youtu.be/lO3qNsyICbQ
88,134,5,xyrix,2016,Voices,John Talabot,https://www.youtube.com/watch?v=JifhMoTeK-c
