artist,song,submitter,seed,link
Ripple,Grateful Dead,jsh,3,https://www.youtube.com/watch?v=n8Zb55njp8E
All Right Now,Free,aku chi,0,https://www.youtube.com/watch?v=lSdBtoIIYT4
"Blues Power (live, from Just One Night)",Eric Clapton,tufftaeh,6,https://www.youtube.com/watch?v=2pQE5IN5hPE
Down on the Street,The Stooges,Bluey The Bear,3,https://www.youtube.com/watch?v=xEcLZ5x4WDs
Brokedown Palace,Grateful Dead,wharf_rat,3,https://www.youtube.com/watch?v=V3cNVAcfQLA
Roadhouse Blues,The Doors,Volrath,2,https://youtu.be/n2_X4VTCoEo
Zanzibar,Edu Lobo,xyrix,3,https://www.youtube.com/watch?v=0IfFu1c3BMg
Castles in the Air,Don McLean,seanahan,5,https://www.youtube.com/watch?v=TI9NjQK_xm8
Immigrant Song,Led Zeppelin,MuensterCheese,0,https://youtu.be/5eHkjPCGXKQ
Are You Sleeping?,Harry Nilsson,Donald X.,1,https://www.youtube.com/watch?v=_6rCoShZjjQ
Amos Moses,Jerry Reed,Sharur,4,https://youtu.be/PbXFHSa4YmQ
Let It Be,The Beatles,Donkey-Dude,0,https://www.youtube.com/watch?v=QDYfEBY9NM4
The Man in Me,Bob Dylan,jsh,4,https://www.youtube.com/watch?v=G6oBqDkNz38
Sunday Sermon,Booker T & the M.G.s,Wonko,4,https://youtu.be/MZeO2FY67LQ
Heaven On Their Minds,Andrew Lloyd Webber & Tim Rice,pproteus,2,https://www.youtube.com/watch?v=NcWxdbkyCkc
Superstar,Murray Head and The Trinidad Singers,singletee,4,https://www.youtube.com/watch?v=gcekqH2FFhw
Then,Yes,Mort,1,https://youtu.be/5lJPJrVz26s
Dodesukaden,Toru Takemitsu,dryope,5,https://youtu.be/vEWSK9N4Tqo
With You There to Help Me,Jethro Tull,markusin,0,https://www.youtube.com/watch?v=gfKzPV-Ely4
